=== LANE MASK DEBUG LOG — started 2026-04-12 12:28:07 ===
Legend:
  raw      : masks from YOLO (before any classification fix)
  prep     : after _prepare_local_ai_side_masks (guessed→resolve)
  bev      : after _reclassify_masks_via_bev
  guide    : final _build_local_mask_guidance result
  err      : crosstrack error [m]  (+right / -left of centre)
  hdg      : heading error [deg]
  steer    : commanded steering [deg]  (+right / -left)
  Lcx/Rcx  : BEV x-centroid of left/right mask [px], centre=320
  src      : YOLO source (g=guessed_single, e=explicit_class, etc)

F000022 12:28:10.217 | raw: L(cx=121.1,a=3756,s=gue) R(cx=439.2,a=6206,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.139m hdg=+0.0° | OUT steer=-14.3° v=10.0
F000023 12:28:10.420 | raw: L(cx=66.7,a=2435,s=gue) R(cx=442.3,a=5941,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.141m hdg=+0.0° | OUT steer=-14.4° v=10.0
F000024 12:28:10.558 | raw: L(cx=121.3,a=3792,s=gue) R(cx=439.4,a=6268,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.0 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.139m hdg=+0.0° | OUT steer=-13.9° v=10.0
F000025 12:28:10.680 | raw: L(cx=121.3,a=3753,s=gue) R(cx=439.6,a=6240,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.141m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000026 12:28:10.887 | raw: L(cx=119.7,a=3723,s=gue) R(cx=439.4,a=6214,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.140m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000027 12:28:11.050 | raw: L(cx=121.5,a=3803,s=gue) R(cx=439.5,a=6256,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.139m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000028 12:28:11.156 | raw: L(cx=119.7,a=3764,s=gue) R(cx=439.5,a=6283,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.134m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000029 12:28:11.325 | raw: L(cx=121.1,a=3739,s=gue) R(cx=439.6,a=6298,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=559.8 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.137m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000030 12:28:11.439 | raw: L(cx=121.1,a=3739,s=gue) R(cx=439.6,a=6298,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=559.8 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.139m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000031 12:28:11.564 | raw: L(cx=121.3,a=3801,s=gue) R(cx=438.9,a=6195,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.138m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000032 12:28:11.745 | raw: L=none R(cx=437.0,a=4942,s=gue) | prep: det=right res=right via=mask | bev: 1mask present=right cx=562.3 center=320.0 correct=right swap=no | guide: single_line_physical sides=right err=-0.067m hdg=-3.9° | OUT steer=-12.6° v=11.0
F000033 12:28:11.878 | raw: L(cx=119.9,a=3770,s=gue) R(cx=439.7,a=6278,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.139m hdg=+0.0° | OUT steer=-14.0° v=10.0
F000034 12:28:12.022 | raw: L(cx=123.2,a=3834,s=gue) R(cx=439.3,a=6146,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.4 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.141m hdg=+0.0° | OUT steer=-14.1° v=10.0
F000035 12:28:12.188 | raw: L(cx=121.1,a=3841,s=gue) R(cx=439.3,a=6211,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.138m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000036 12:28:12.331 | raw: L(cx=111.3,a=4010,s=gue) R(cx=438.8,a=6153,s=gue) | prep: 2-line | bev: 2mask Lcx=117.8 Rcx=560.5 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.001m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000037 12:28:12.472 | raw: L(cx=82.7,a=2960,s=gue) R(cx=439.6,a=6200,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=559.9 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.138m hdg=+0.0° | OUT steer=-10.4° v=10.0
F000038 12:28:12.606 | raw: L(cx=119.9,a=3752,s=gue) R(cx=439.4,a=6299,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.0 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.143m hdg=+0.0° | OUT steer=-13.2° v=10.0
F000039 12:28:12.728 | raw: L(cx=121.3,a=3752,s=gue) R(cx=439.2,a=6239,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.139m hdg=+0.0° | OUT steer=-13.7° v=10.0
F000040 12:28:12.853 | raw: L(cx=120.8,a=3772,s=gue) R(cx=439.4,a=6260,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.136m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000041 12:28:13.060 | raw: L(cx=120.8,a=3772,s=gue) R(cx=439.4,a=6260,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.134m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000042 12:28:13.178 | raw: L(cx=120.7,a=3932,s=gue) R(cx=439.2,a=6267,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.135m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000043 12:28:13.298 | raw: L(cx=119.9,a=3692,s=gue) R(cx=439.2,a=6192,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.0 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.136m hdg=+0.0° | OUT steer=-13.8° v=10.0
F000044 12:28:13.456 | raw: L(cx=62.9,a=2269,s=gue) R(cx=438.4,a=6223,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.5 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.136m hdg=+0.0° | OUT steer=-13.8° v=10.0
